City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
307,Naushahro Firoz,PK,26.8424,68.123,65.44,28,26,3.47,scattered clouds
308,Porto De Moz,BR,-1.7483,-52.2383,75.27,94,97,2.46,moderate rain
309,Tabuk,PH,17.4189,121.4443,66.78,91,85,1.99,overcast clouds
310,Luderitz,NA,-26.6481,15.1594,60.75,88,0,10.04,clear sky
311,Katobu,ID,-4.9408,122.5276,78.6,85,94,5.5,light rain
312,Cozumel,MX,20.5083,-86.9458,82.47,78,40,8.01,scattered clouds
313,Leshukonskoye,RU,64.8989,45.7622,4.1,93,24,4.72,few clouds
314,Anadyr,RU,64.75,177.4833,5.5,84,90,32.99,heavy snow
315,Pangnirtung,CA,66.1451,-65.7125,7.74,97,100,6.91,light snow
316,Amboasary,MG,-25.0333,46.3833,76.84,86,0,5.86,clear sky
317,Honningsvag,NO,70.9821,25.9704,29.95,80,75,21.85,light snow
318,Victoria,HK,22.2855,114.1577,64.33,55,34,1.01,scattered clouds
319,Polistena,IT,38.406,16.08,55.35,92,52,1.66,broken clouds
320,Whitehorse,CA,60.7161,-135.0538,-5.91,83,75,20.0,broken clouds
321,Lasa,IT,46.6166,10.7002,27.48,92,95,5.59,overcast clouds
322,Fairbanks,US,64.8378,-147.7164,7.92,77,1,0.0,clear sky
323,Minsk,BY,53.9,27.5667,24.55,95,100,4.5,overcast clouds
324,Buraydah,SA,26.326,43.975,57.65,24,18,11.86,few clouds
325,Hithadhoo,MV,-0.6,73.0833,81.27,78,100,12.3,overcast clouds
326,Puntarenas,CR,9.9763,-84.8384,89.53,80,26,5.57,scattered clouds
327,La Cruz,MX,23.9167,-106.9,81.46,58,99,1.99,overcast clouds
328,Shushtar,IR,32.0455,48.8567,61.38,34,78,6.38,broken clouds
329,Balikpapan,ID,-1.2675,116.8289,77.99,89,40,5.75,moderate rain
330,Martapura,ID,-3.4167,114.85,77.09,94,90,4.61,overcast clouds
331,Agartala,IN,23.8364,91.275,67.95,99,100,4.03,light rain
332,Ekhabi,RU,53.5102,142.9671,6.78,96,86,5.17,overcast clouds
333,Airai,TL,-8.9266,125.4092,65.5,85,99,1.07,overcast clouds
334,Gushikawa,JP,26.3544,127.8686,66.2,70,1,12.66,clear sky
335,Dunedin,NZ,-45.8742,170.5036,54.81,66,97,3.0,overcast clouds
336,Ostrovnoy,RU,68.0531,39.5131,9.59,73,83,23.38,broken clouds
337,Mogadishu,SO,2.0371,45.3438,79.32,74,75,15.3,broken clouds
338,Kedrovka,RU,55.5333,86.05,27.48,94,100,11.34,overcast clouds
339,Avera,US,33.194,-82.5271,69.67,69,100,5.03,overcast clouds
340,Medicine Hat,CA,50.0501,-110.6683,6.51,73,90,1.99,overcast clouds
341,Ville-Marie,CA,47.3335,-79.433,8.6,77,100,7.18,overcast clouds
342,Boa Vista,BR,2.8197,-60.6733,85.98,58,0,6.91,clear sky
343,Kapustin Yar,RU,48.5831,45.7372,42.75,93,100,4.52,overcast clouds
344,Gorontalo,ID,0.5412,123.0595,78.64,89,89,2.77,overcast clouds
