City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
211,Dharchula,IN,2021-12-02 01:00:04,29.85,80.5333,59.29,45,100,3.8
212,Pemba,MZ,2021-12-02 01:00:04,-12.974,40.5178,79.12,76,12,6.35
213,Sakaiminato,JP,2021-12-02 01:00:04,35.55,133.2333,48.61,56,46,13.56
214,Yerbogachen,RU,2021-12-02 00:56:16,61.2767,108.0108,-21.5,99,86,3.85
215,Port-Cartier,CA,2021-12-02 01:00:05,50.0334,-66.8654,24.75,93,100,6.31
216,Angoche,MZ,2021-12-02 01:00:06,-16.2325,39.9086,77.07,88,0,5.57
217,Roswell,US,2021-12-02 01:00:07,34.0232,-84.3616,58.96,67,100,5.79
218,Lavrentiya,RU,2021-12-02 01:00:08,65.5833,-171.0,-10.62,83,0,5.66
219,Comodoro Rivadavia,AR,2021-12-02 01:01:08,-45.8667,-67.5,58.35,35,26,35.3
220,Ostrovnoy,RU,2021-12-02 01:01:08,68.0531,39.5131,26.15,88,100,32.75
221,Longyearbyen,SJ,2021-12-02 01:01:09,78.2186,15.6401,8.44,66,40,5.75
222,Sale,MA,2021-12-02 01:01:09,34.0389,-6.8166,50.68,87,40,5.75
223,Camacha,PT,2021-12-02 01:01:09,33.0833,-16.3333,61.54,77,40,5.75
224,Necochea,AR,2021-12-02 01:01:10,-38.5473,-58.7368,63.03,66,0,14.63
225,Hashtrud,IR,2021-12-02 01:01:10,37.4779,47.0508,41.81,78,10,26.17
226,Forbach,FR,2021-12-02 00:58:42,49.1833,6.9,42.87,94,75,1.01
227,Chotila,IN,2021-12-02 01:01:11,22.4167,71.1833,61.2,84,18,10.09
228,Duvan,RU,2021-12-02 01:01:11,55.695,57.9024,35.24,98,100,9.17
229,Bathsheba,BB,2021-12-02 01:01:11,13.2167,-59.5167,80.37,79,98,20.71
230,Kuusamo,FI,2021-12-02 00:58:19,65.9667,29.1833,17.64,86,90,3.44
231,Paramonga,PE,2021-12-02 01:01:12,-10.6667,-77.8333,66.42,85,100,7.18
232,Coihaique,CL,2021-12-02 01:01:12,-45.5752,-72.0662,43.41,88,24,7.58
233,Kyren,RU,2021-12-02 01:01:13,51.6828,102.1408,14.0,80,94,1.79
234,Cairns,AU,2021-12-02 01:01:13,-16.9167,145.7667,95.11,57,8,12.66
235,Birjand,IR,2021-12-02 01:01:13,32.8663,59.2211,48.51,45,10,7.25
236,Rio Grande,BR,2021-12-02 00:57:40,-32.035,-52.0986,63.95,66,93,10.45
237,Kangaatsiaq,GL,2021-12-02 01:01:14,68.3065,-53.4641,32.7,67,100,7.29
238,Ust-Omchug,RU,2021-12-02 01:01:14,61.15,149.6333,-14.78,94,100,11.27
239,Kasangulu,CD,2021-12-02 01:01:14,-4.5911,15.1708,68.9,97,100,2.39
240,Gigmoto,PH,2021-12-02 01:01:15,13.7796,124.39,79.45,82,100,20.22
241,Rusape,ZW,2021-12-02 01:01:15,-18.5278,32.1284,60.44,70,0,3.56
242,Vestmannaeyjar,IS,2021-12-02 01:01:15,63.4427,-20.2734,36.5,97,100,31.05
243,Tygda,RU,2021-12-02 01:01:15,53.1167,126.3333,5.77,87,100,4.83
244,Lida,BY,2021-12-02 01:01:16,53.8833,25.2997,31.37,98,100,17.09
245,Vardo,NO,2021-12-02 01:01:16,70.3705,31.1107,34.34,60,100,31.59
246,Ulaangom,MN,2021-12-02 00:59:43,49.9811,92.0667,5.18,83,86,3.56
247,Lata,PT,2021-12-02 01:01:17,40.1629,-8.3327,51.93,91,100,6.87
248,Amalfi,CO,2021-12-02 01:01:17,6.9102,-75.0776,59.56,99,79,2.53
249,Chokurdakh,RU,2021-12-02 00:56:20,70.6333,147.9167,-32.98,100,99,7.23
250,Kunya,NG,2021-12-02 01:01:17,12.2233,8.5325,69.64,22,70,8.5
251,Aranos,NA,2021-12-02 01:01:17,-24.1333,19.1167,70.23,27,99,9.28
252,Grand Gaube,MU,2021-12-02 00:57:41,-20.0064,57.6608,77.4,78,2,1.99
253,Chizhou,CN,2021-12-02 01:01:18,30.6578,117.4831,43.11,34,0,4.5
254,Tateyama,JP,2021-12-02 01:01:18,34.9833,139.8667,57.09,47,1,11.79
255,Srandakan,ID,2021-12-02 01:01:19,-7.9386,110.2506,81.23,77,100,4.61
256,Mattru,SL,2021-12-02 01:01:19,7.6244,-11.8332,74.07,98,100,4.5
257,Haines Junction,CA,2021-12-02 01:01:19,60.7522,-137.5108,12.4,97,100,2.84
258,Linares,CL,2021-12-02 01:01:20,-35.85,-71.6,58.1,47,34,5.86
259,Kuching,MY,2021-12-02 01:01:20,1.55,110.3333,79.02,89,20,2.3
260,Nanortalik,GL,2021-12-02 01:01:20,60.1432,-45.2371,33.37,95,100,24.99
261,Tena,EC,2021-12-02 01:01:21,-0.9833,-77.8167,70.66,98,36,3.02
262,Geraldton,AU,2021-12-02 01:01:21,-28.7667,114.6,73.13,49,0,17.27
263,Manokwari,ID,2021-12-02 01:02:21,-0.8667,134.0833,81.55,81,100,6.53
264,Shelburne,CA,2021-12-02 01:00:28,44.0787,-80.2041,34.56,86,100,14.23
265,Usuki,JP,2021-12-02 01:02:21,33.1081,131.7878,45.27,52,1,7.36
266,Laguna,US,2021-12-02 01:02:22,38.421,-121.4238,68.65,73,1,1.01
267,Krasnoselkup,RU,2021-12-02 01:02:22,65.7,82.4667,0.43,95,100,11.92
268,Iqaluit,CA,2021-12-02 01:02:03,63.7506,-68.5145,5.47,95,100,3.85
269,Lashio,MM,2021-12-02 01:02:22,22.9333,97.75,55.89,90,32,0.69
270,Mount Gambier,AU,2021-12-02 01:02:23,-37.8333,140.7667,62.51,77,90,10.36
271,Fairbanks,US,2021-12-02 00:59:46,64.8378,-147.7164,-4.7,77,100,3.06
272,Sibolga,ID,2021-12-02 01:02:23,1.7427,98.7792,79.2,78,12,1.25
273,Portland,US,2021-12-02 01:00:40,45.5234,-122.6762,59.77,89,76,1.32
274,Ust-Tsilma,RU,2021-12-02 01:02:23,65.441,52.1498,21.56,97,100,4.94
275,Talara,PE,2021-12-02 01:02:24,-4.5772,-81.2719,66.76,86,100,10.6
276,Labytnangi,RU,2021-12-02 01:02:24,66.6572,66.4183,-0.49,94,100,14.16
277,Hithadhoo,MV,2021-12-02 01:02:24,-0.6,73.0833,81.57,76,91,6.62
278,Tessalit,ML,2021-12-02 01:01:51,20.1986,1.0114,71.42,17,5,9.91
279,Caravelas,BR,2021-12-02 01:02:25,-17.7125,-39.2481,76.19,92,95,11.01
280,Kununurra,AU,2021-12-02 01:00:20,-15.7667,128.7333,98.58,39,100,11.5
281,Peski,RU,2021-12-02 01:02:25,55.2163,38.7626,22.96,84,54,11.63
282,Marsa Matruh,EG,2021-12-02 01:02:25,31.3525,27.2453,63.68,54,100,11.86
283,Kandrian,PG,2021-12-02 01:02:26,-6.2167,149.55,87.24,66,92,5.99
284,Santiago Del Estero,AR,2021-12-02 01:02:26,-27.7951,-64.2615,78.82,39,17,11.05
285,Buala,SB,2021-12-02 01:02:26,-8.145,159.5921,86.34,65,49,1.54
286,Alugan,PH,2021-12-02 01:02:26,12.2188,125.4808,80.47,86,100,13.82
287,Karakol,KG,2021-12-02 01:02:27,42.4907,78.3936,21.25,60,1,6.98
288,Udachnyy,RU,2021-12-02 01:02:27,66.4167,112.4,-14.15,98,100,4.97
289,Belmonte,BR,2021-12-02 01:02:27,-15.8631,-38.8828,77.63,89,100,10.11
290,Aracaju,BR,2021-12-02 01:01:47,-10.9111,-37.0717,80.55,78,0,9.22
291,Mount Isa,AU,2021-12-02 00:58:32,-20.7333,139.5,96.57,20,0,11.5
292,Mnogovershinnyy,RU,2021-12-02 01:02:28,53.9353,139.9242,11.64,91,100,29.8
293,Schertz,US,2021-12-02 01:02:28,29.5522,-98.2697,68.25,84,1,0.0
